11400 76 57 68.2253077038
11420 76 58 67.8225769073
11475 76 59 67.5073240754
11518 77 55 64.3906856897
11543 77 56 66.7670439826
11614 77 57 67.0858346506
11630 78 54 62.7497557045
11690 78 55 63.7906697356
11700 78 49 64.8444303888
11754 78 50 64.284566572
11764 78 51 63.7252911221
11802 78 52 63.2886153873
11820 78 53 62.1158688718
11853 78 54 62.5874294229
11907 79 52 63.0493077192
11955 79 53 62.3586442895
12000 78 47 65.675379748
12002 78 48 65.3704556773
12052 78 49 65.3501383713
12129 79 46 65.8273233171
12144 79 47 65.8026110756
24284 79 46 65.8950230355
24300 76 47 63.7679149857
24358 77 47 64.3446905219
24367 78 47 64.8623418718
24439 79 46 65.8305219646
24512 79 47 64.9447376507
24600 75 47 55.7328940707
24750 76 47 60.84321308
24900 74 46 50.9110805825
24920 75 46 52.4357921926
25041 75 47 52.9038077008
34609 73 45 51.4436421485
34625 73 46 49.9309497018
34816 72 44 48.6767973009
34920 72 45 48.6178159344
34955 73 45 49.6375111745
35100 70 40 51.5739390268
35101 70 41 51.6422796436
35214 70 42 51.5081081193
35226 70 43 48.6012462248
35291 71 44 48.5252804215
35355 72 44 48.5259408926
35400 70 39 51.4192636443
35439 70 40 51.6710096159
35700 70 39 50.5607761433
35752 71 39 49.98344415
36596 71 40 49.9895707417
36600 71 39 49.8279930003
36761 71 40 50.9905613522
36900 69 39 49.7159064523
36935 70 39 49.7845978071
37032 71 39 49.6441354512
37200 69 38 47.7607563042
37438 69 39 48.9516670569
37574 67 39 46.2091295111
37609 68 38 47.1042992627
37689 68 39 46.5517989578
37790 69 38 47.4193014574
37800 67 39 46.2241612375
37897 67 40 45.9355762078
38100 65 42 44.5576535271
38135 66 41 44.6664826758
38180 66 42 44.5160664531
38343 67 40 45.0228086358
38355 67 41 44.8538718702
38400 64 43 44.3302568603
38451 64 44 44.2013738341
38505 65 42 44.5370977131
38625 65 43 44.4104498205
38700 63 45 43.996584787
38706 63 46 43.7543152683
38774 63 47 43.950420841
38934 64 44 44.3393757583
38999 64 45 44.3113395098
39000 63 47 43.9535547333
39107 63 48 43.8603244316
39300 63 48 43.1620188675
39379 63 49 42.6919139422
39606 62 50 41.6728336712
39644 62 51 41.5939328836
39808 63 49 42.019976089
39896 63 50 41.8959180207
39900 62 51 41.6011931145
39966 62 52 41.7231661958
40091 62 53 41.5899094876
40200 62 53 41.4498068344
40210 62 54 41.4298079717
40362 62 55 41.3020047952
40425 62 56 41.4739799986
40501 62 56 41.4091745928
40604 62 57 41.1347709824
40722 63 57 41.01695127
40773 63 58 41.100869183
40800 63 58 41.0628341237
41100 63 58 40.0729562861
41194 64 58 39.9434108403
41351 64 59 39.4564319984
41414 64 59 39.4219101336
41598 65 59 39.3534550395
